method,path,auth_boundary,company_boundary,mount_gate,router_gate,direct_gate,handler_guard,mutation,review_state,source
POST,/api/agents/pms/proposals/decide,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,YES,DECLARED_GATE,backend/src/routes/agent-console.ts:1122
GET,/api/agents/pms/status,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:1101
GET,/api/agents/procurement/brief,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:1214
GET,/api/agents/procurement/proposals,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:1105
POST,/api/agents/procurement/proposals/decide,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,YES,DECLARED_GATE,backend/src/routes/agent-console.ts:1122
GET,/api/agents/procurement/status,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:1101
GET,/api/agents/review,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:230
POST,/api/agents/run-now,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,YES,DECLARED_GATE,backend/src/routes/agent-console.ts:359
GET,/api/agents/si/brief,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:1064
GET,/api/agents/si/findings,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:1009
POST,/api/agents/si/findings/resolve,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,YES,DECLARED_GATE,backend/src/routes/agent-console.ts:1039
GET,/api/agents/status,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,"requirePermission(""*"")",,,NO,DECLARED_GATE,backend/src/routes/agent-console.ts:119
GET,/api/announcements,AUTHENTICATED_MIDDLEWARE,COMPANY_CONTEXT,auth,,"requirePermissionOrSalesDirector(""announcements.read"")",,NO,DECLARED_GATE,backend/src/routes/announcements.ts:517
